experiment,standard,metric,value,unit,source_file
exp1,80211ax,throughput_mbps,1137.72,Mbps,exp1_ax_fair.csv
exp1,80211be,throughput_mbps,1420.55,Mbps,exp1_be_fair.csv
exp1,80211ax,avg_delay_ms,83.6234,ms,exp1_ax_fair.csv
exp1,80211be,avg_delay_ms,77.0044,ms,exp1_be_fair.csv
exp2,80211ax,avg_delay_ms,0.121823,ms,exp2_ax_fair.csv
exp2,80211ax,p99_delay_ms,0.7,ms,exp2_ax_fair.csv
exp2,80211ax,avg_jitter_ms,0.115358,ms,exp2_ax_fair.csv
exp2,80211ax,throughput_mbps,0.366609,Mbps,exp2_ax_fair.csv
exp2,80211be,avg_delay_ms,0.13789,ms,exp2_be_fair.csv
exp2,80211be,p99_delay_ms,0.5,ms,exp2_be_fair.csv
exp2,80211be,avg_jitter_ms,0.141316,ms,exp2_be_fair.csv
exp2,80211be,throughput_mbps,0.366608,Mbps,exp2_be_fair.csv
exp3,80211ax,aggregate_throughput_mbps,267.648,Mbps,exp3_ax_16_mu_template.csv
exp3,80211ax,fairness_index,0.999899,index,exp3_ax_16_mu_template.csv
exp3,80211ax,loss_rate,0.258511,ratio,exp3_ax_16_mu_template.csv
exp3,80211be,aggregate_throughput_mbps,778.224,Mbps,exp3_be_16_mu_template.csv
exp3,80211be,fairness_index,0.999976,index,exp3_be_16_mu_template.csv
exp3,80211be,loss_rate,0.190645,ratio,exp3_be_16_mu_template.csv
